id,URL,tag,tag_cn,right_tag_cn,othername,describe,describe_cn
1,2k-tan,2k-tan,,2K碳,2k,2k-tanAn OS-tan character.The personification of the Windows 2000 operating system.,2k tanAn OS tan字符。Windows 2000操作系统的拟人化。
2,abe_nana,abe_nana,,安部菜菜,安部菜々,"An iDOLM@STER Cinderella Girls character in the Cute (Pink Flower) category, Nana is a hardworking and determined individual. Her appearances show that she likes to dress in maid outfits, something that reflects her attitude. She is also optimistic and believes that she can become a top idol. She is also caring for the Producer, as she sees him as a partner and confidant. Her hobby is communicating with her 'home planet' Usamin. Some of her speeches involves uttering ""Pipi"", signifying her communicating from there. She is a fan of anime, and one of her dreams is to become a seiyuu.Some of her Affection UP and MAX comments reveal that she is not a real alien, and is a normal girl, but hopes that the Producer doesn't expose that fact and that they'll continue to work together. She claims to be ""eternally 17"", but it is hinted on her CD interview that that this is not true and she is actually at least in her early 20's, after her mother calls her to remind her to vote.Due to her popularity, she was selected for the fourth CINDERELLA MASTER CD series, alongside Akagi Miria, Koshimizu Sachiko, Hino Akane, and Nitta Minami. She is voiced by Miyake Marie [三宅 麻理恵].",一iDOLM@STER灰姑娘在可爱（粉红色的花）类女孩的性格，娜娜是一个勤奋和坚定的个人。她的外表表明她喜欢穿女仆装，这反映了她的态度。她也很乐观，相信自己能成为顶级偶像。她也很关心制片人，因为她把他看作是搭档和知己。她的爱好是和她的“故乡”乌萨明交流。她的一些演讲涉及到说“皮皮”，表示她从那里沟通。她是一个动漫迷，她的梦想之一就是成为一个“星羽”。她的一些感情和马克斯的评论显示，她不是一个真正的外星人，是一个正常的女孩，但希望制作人不要揭露这个事实，他们会继续合作。她自称“永远17岁”，但在她的CD采访中暗示，这不是真的，她实际上至少在20出头，在她母亲打电话提醒她投票后。由于她的人气，她被选为第四届灰姑娘大师CD系列，与赤木三郎，小岛贤彦，赤野之彦，还有Nitta Minami。她由三宅一生配音[三宅 麻理恵].
3,admiral_graf_spee_(azur_lane),admiral_graf_spee_(azur_lane),,斯佩伯爵海军上将（碧蓝航线）,アドミラル・グラーフ・シュペー(アズールレーン),,
4,aegis_(persona),aegis_(persona),,艾吉斯（女神异闻录）,アイギス,"Also spelled as Aigis. An android in Persona 3 created to be capable of summoning a Persona. She serves the main characters in the first game and later takes over the role of the protagonist in FES/The Answer.
DOB: September 10th, 1999
Zodiac: Virgo
Height: 162 cm
Initial Persona: Palladion
Ultimate Persona: Athena
Weapons: Firearms
Arcana / Social Link: The Chariot arcana, Aeon social link (P3P only)",也拼写为Aigis。角色3中的一个安卓系统，可以召唤一个角色。她在第一个游戏中扮演主角，后来在《非诚勿扰》中扮演主角。
5,aerith_gainsborough,aerith_gainsborough,,艾丽丝·盖恩斯巴勒,エアリス・ゲインズブール|エアリス,"A flower girl from the slums of Midgar and playable white mage-type character from FINAL FANTASY VII, and featured in ADVENT CHILDREN, BEFORE CRISIS, Crisis Core, and the remake. Also a supporting character in the KINGDOM HEARTS series. Voiced by Mena Suvari and by Sakamoto Maaya for the Japanese version.She dies by Sephiroth's hand.",一个来自米德加贫民窟的花童和《最终幻想VII》中可玩的白色法师类型的角色，出现在《降临节的孩子》、《危机前》、《危机核心》和《翻拍》中。也是《王国之心》系列的配角。由梅娜素瓦里和坂本玛雅配音的日文版本。她死于塞菲洛斯之手。
6,afuro_terumi,afuro_terumi,,亚风炉照美,アフロディ|亜風炉|亜風炉照美|照美監督,"亜風炉 照美 (あふろ てるみ)Inazuma Eleven character, nicknamed Aphrodi (アフロディ). His name is based on that of the Greek goddess Aphrodite. Voiced by Sanpei Yuuko.He appears as a child in Inazuma Eleven, where he captains Zeus as well as playing for Fire Dragon and Raimon. He returns as an adult in Inazuma Eleven GO, where he coaches Kidokawa Seishuu.",亜風炉 照美 (あふろ てるみ)稻谷十一字，绰号阿芙罗迪(アフロディ). 他的名字是基于希腊女神阿佛洛狄忒的名字。由三沛由子配音。他小时候出现在稻岛十一，在那里他是宙斯的队长，也为火龙和莱蒙演奏。他作为一个成年人返回稻岛十一去，他教练Kidokawa Seishuu。
7,agrias_oaks,agrias_oaks,,阿格莉亚丝,アグリアス|アグリアス・オークス,Playable holy knight in Final Fantasy Tactics.,最终幻想战术中可玩的神圣骑士。
8,ahri,ahri,,阿狸,Ahri|아리|阿狸|アーリ,"A vastayan Champion from Ionia in League of Legends usually played as an AP mid. She is a kumiho, a fox spirit from Korean legend. Known mostly for her nine tails, seductive appearance and ability to charm other Champions into helplessly moving towards her.Full title: Ahri the Nine-Tailed FoxSkins:
Dynasty Ahri
Midnight Ahri
Foxfire Ahri
Popstar Ahri
Challenger Ahri
Academy Ahri
Arcade Ahri
Star Guardian Ahri
K/DA Ahri
K/DA Ahri Prestige Edition
Elderwood Ahri
Spirit Blossom Ahri
K/DA ALL OUT Ahri
Other outfits:
Generation Ahri (fanmade skin that inspired the official Popstar Ahri skin)
The Baddest Ahri",一位来自爱奥尼亚的传奇联盟的瓦斯塔亚冠军，通常扮演美联社的中锋。她是一位库米霍，一位来自韩国传奇的狐狸精。以九尾狐皮、迷人的外表和吸引其他冠军的能力而闻名。全名：九尾狐皮阿赫里：
9,aida_mana,aida_mana,,相田爱,相田マナ,"The lead character in DokiDoki! Precure. Mana is the Student Council President of her school.She excels in academics, is extremely athletic, and loves helping people. She transforms into Cure Heart and is voiced by Nabatame Hitomi.",多奇多基的主角！预固化。玛娜是学校的学生会主席。她在学术方面很出色，运动能力很强，喜欢帮助别人。她变成了治愈之心，由Nabatame Hitomi配音。
10,aino_megumi,aino_megumi,,爱乃惠,愛乃めぐみ,"HappinessCharge Precure! character. The main protagonist, a happy-go-lucky but tactless girl who always sees things positively. She agrees to help Shirayuki Hime become a Precure and fights the evil Phantom Empire with her. Megumi transforms into Cure Lovely.",快乐充电！性格主人公，一个乐天派但不太得体的女孩，总是积极看待事情。她同意帮助Shirayuki Hime成为一个预言者，并与她对抗邪恶的幽灵帝国。美眉变可爱了。
11,aino_minako,aino_minako,,爱野美奈子,愛野美奈子,"The blonde-haired character from the series Bishoujo Senshi Sailor Moon (aka. Pretty Soldier Sailor Moon) by Takeuchi Naoko. She is a cheerful schoolgirl full of energy and very interested in romance.Takeuchi originally created her for a manga one-shot in 1991 that eventually became the series Codename wa Sailor V, which chronicled Minako's adventures as Sailor V. She would later be introduced as Sailor Venus in the Sailor Moon manga. Since she is essentially the prototype for Tsukino Usagi, they look and sometimes act very similar.",金发的角色从系列Bishoujo Senshi水手月亮（又名。美丽的士兵（水手月亮）竹内直子。她是一个开朗的女学生，精力充沛，对浪漫非常感兴趣。竹内修最初在1991年为漫画《一枪》创作了她，最终成为代号wa sailler V的系列，该系列记录了Minako作为sailler V的冒险经历。她后来在水手月亮漫画中被介绍为水手维纳斯。由于她本质上是小宫津一郎的原型，他们看起来和有时的行为非常相似。
12,aircraft_carrier_oni,aircraft_carrier_oni,,空母棲鬼,空母棲鬼,"E-3 Stage Boss of the Operation AL/MI Summer 2014 event.She appears as a young woman wearing a short black sailor dress with armored thigh boots and gauntlets, very long white hair with one side up, sitting atop a monster-ship creature, typical for abyssal ship bosses.She is assumed to represent the USS Yorktown, the carrier sunk by the Japanese in the battle of Midway. An alternate theory, based on her ingame lines as well as her hairstyle, suggest that she may be a corrupted Kaga or Akagi or even a composite of both. This theory is also supported by the fact that she is voiced by Fujita Saki, who also voices Akagi. Fans generally go for the abyssal Kaga theory due to the visual resemblance.",2014年夏季AL/MI行动的E-3舞台老板。她穿着黑色短水手服，穿着盔甲长靴和护腕，长着一头白发，一面朝上，坐在一个怪物船上，典型的深海船老板。她被认为是代表约克敦号军舰，在中途岛战役中被日本人击沉的航母。另一种理论，基于她的英加梅线以及她的发型，认为她可能是一个腐败的卡加或赤木，甚至两者的组合。这一理论也得到了一个事实的支持，即她是由藤田崎，谁也声音赤城。由于视觉上的相似性，粉丝们通常倾向于深渊卡加理论。
